decision_date,next_execution_date,incumbent_after,challenger_ticker,selected_action,reason_code,market_state
2023-10-26,2023-10-27,3548,3548,hold_incumbent,valid_incumbent_no_better_challenger,weak_market
2023-10-27,2023-10-30,3548,3548,hold_incumbent,valid_incumbent_no_better_challenger,weak_market
2023-10-30,2023-10-31,4162,4162,forced_replacement,invalid_or_weak_incumbent,weak_market
2023-10-31,2023-11-01,4162,4162,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2023-11-01,2023-11-02,4162,4162,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2023-11-02,2023-11-03,4162,4162,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2023-11-03,2023-11-06,4162,2492,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-11-06,2023-11-07,3548,3548,forced_replacement,invalid_or_weak_incumbent,strong_market
2023-11-07,2023-11-08,3548,3548,hold_incumbent,valid_incumbent_no_better_challenger,strong_market
2023-11-08,2023-11-09,3548,6531,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-11-09,2023-11-10,3548,3036,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-11-10,2023-11-13,3548,3036,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-11-13,2023-11-14,2454,2454,forced_replacement,invalid_or_weak_incumbent,strong_market
2023-11-14,2023-11-15,2454,2388,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-11-15,2023-11-16,2454,2388,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-11-16,2023-11-17,2454,2388,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-11-17,2023-11-20,2454,3545,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-11-20,2023-11-21,3545,3545,forced_replacement,invalid_or_weak_incumbent,strong_market
2023-11-21,2023-11-22,3545,3545,hold_incumbent,valid_incumbent_no_better_challenger,strong_market
2023-11-22,2023-11-23,3545,3545,hold_incumbent,valid_incumbent_no_better_challenger,strong_market
2023-11-23,2023-11-24,3545,3545,hold_incumbent,valid_incumbent_no_better_challenger,strong_market
2023-11-24,2023-11-27,3545,3545,hold_incumbent,valid_incumbent_no_better_challenger,strong_market
2023-11-27,2023-11-28,2454,2454,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2023-11-28,2023-11-29,3362,3362,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2023-11-29,2023-11-30,3362,3362,hold_incumbent,valid_incumbent_no_better_challenger,strong_market
2023-11-30,2023-12-01,3362,2329,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-12-01,2023-12-04,3362,2329,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-12-04,2023-12-05,3362,3362,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2023-12-05,2023-12-06,3362,2329,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-12-06,2023-12-07,3362,2329,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-12-07,2023-12-08,3362,2329,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-12-08,2023-12-11,3362,6143,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-12-11,2023-12-12,2329,2329,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2023-12-12,2023-12-13,2329,1514,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-12-13,2023-12-14,2329,1514,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-12-14,2023-12-15,2329,3008,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-12-15,2023-12-18,2329,3008,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-12-18,2023-12-19,2329,3008,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-12-19,2023-12-20,2329,3008,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-12-20,2023-12-21,2329,3008,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-12-21,2023-12-22,2329,3008,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-12-22,2023-12-25,2329,3008,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-12-25,2023-12-26,2329,3008,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-12-26,2023-12-27,2329,3008,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-12-27,2023-12-28,2329,2353,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-12-28,2023-12-29,2329,2353,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-12-29,2024-01-02,2353,2353,switch_to_challenger,margin_blocks_incumbent_weakened,ordinary_market
2024-01-02,2024-01-03,6139,6139,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2024-01-03,2024-01-04,6139,6139,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2024-01-04,2024-01-05,3008,3008,switch_to_challenger,margin_blocks_incumbent_weakened,weak_market
2024-01-05,2024-01-08,3008,6531,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-01-08,2024-01-09,3008,6756,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-01-09,2024-01-10,3008,6223,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-01-10,2024-01-11,3008,6531,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-01-11,2024-01-12,2362,2362,switch_to_challenger,margin_blocks_incumbent_weakened,ordinary_market
2024-01-12,2024-01-15,2362,6223,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-01-15,2024-01-16,8227,8227,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2024-01-16,2024-01-17,8227,8227,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2024-01-17,2024-01-18,8227,8227,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2024-01-18,2024-01-19,8227,6531,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-01-19,2024-01-22,8227,5269,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-01-22,2024-01-23,3036,3036,forced_replacement,invalid_or_weak_incumbent,strong_market
2024-01-23,2024-01-24,3036,3036,hold_incumbent,valid_incumbent_no_better_challenger,strong_market
2024-01-24,2024-01-25,3036,6274,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-01-25,2024-01-26,3036,4909,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-01-26,2024-01-29,3036,3036,hold_incumbent,valid_incumbent_no_better_challenger,strong_market
2024-01-29,2024-01-30,3036,9958,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-01-30,2024-01-31,3036,2376,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-01-31,2024-02-01,3036,2376,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-02-01,2024-02-02,3036,3661,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-02-02,2024-02-05,3036,3036,hold_incumbent,valid_incumbent_no_better_challenger,strong_market
2024-02-05,2024-02-15,3036,3661,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-02-15,2024-02-16,3036,2376,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-02-16,2024-02-19,3036,6274,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-02-19,2024-02-20,3324,3324,forced_replacement,invalid_or_weak_incumbent,strong_market
2024-02-20,2024-02-21,3324,3324,hold_incumbent,valid_incumbent_no_better_challenger,strong_market
2024-02-21,2024-02-22,3324,3324,hold_incumbent,valid_incumbent_no_better_challenger,strong_market
2024-02-22,2024-02-23,3324,6274,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-02-23,2024-02-26,3324,6274,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-02-26,2024-02-27,3324,6274,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-02-27,2024-02-29,3324,1513,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-02-29,2024-03-01,3324,1513,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-03-01,2024-03-04,3324,1513,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-03-04,2024-03-05,3324,1513,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-03-05,2024-03-06,3324,3017,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-03-06,2024-03-07,3324,3017,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-03-07,2024-03-08,3324,3017,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-03-08,2024-03-11,3324,2379,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-03-11,2024-03-12,2379,2379,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2024-03-12,2024-03-13,2379,2454,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-03-13,2024-03-14,2379,2454,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-03-14,2024-03-15,2379,2330,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-03-15,2024-03-18,2379,2379,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2024-03-18,2024-03-19,2379,3533,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-03-19,2024-03-20,2379,3533,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-03-20,2024-03-21,2379,5483,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-03-21,2024-03-22,2379,5483,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-03-22,2024-03-25,2379,2330,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-03-25,2024-03-26,2379,3005,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-03-26,2024-03-27,2379,2330,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-03-27,2024-03-28,2379,1609,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-03-28,2024-03-29,2379,3406,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-03-29,2024-04-01,2379,1608,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-04-01,2024-04-02,1608,1608,switch_to_challenger,margin_blocks_incumbent_weakened,ordinary_market
2024-04-02,2024-04-03,1608,2382,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-04-03,2024-04-08,1608,2382,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-04-08,2024-04-09,1608,1609,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-04-09,2024-04-10,1608,6274,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-04-10,2024-04-11,1608,1609,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-04-11,2024-04-12,1608,1609,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-04-12,2024-04-15,1608,1609,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-04-15,2024-04-16,1608,4533,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-04-16,2024-04-17,1608,1609,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-04-17,2024-04-18,1608,1609,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-04-18,2024-04-19,1608,1514,hold_incumbent,switch_gate_not_all_pass,weak_market
2024-04-19,2024-04-22,1608,1609,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-04-22,2024-04-23,2515,2515,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2024-04-23,2024-04-24,2515,2515,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2024-04-24,2024-04-25,2515,2515,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2024-04-25,2024-04-26,2515,2603,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-04-26,2024-04-29,2515,2618,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-04-29,2024-04-30,2515,2618,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-04-30,2024-05-02,2515,2486,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-05-02,2024-05-03,2515,2618,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-05-03,2024-05-06,2515,2618,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-05-06,2024-05-07,2618,2618,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2024-05-07,2024-05-08,2618,2317,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-05-08,2024-05-09,2618,1532,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-05-09,2024-05-10,2618,2317,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-05-10,2024-05-13,2618,2317,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-05-13,2024-05-14,2618,2317,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-05-14,2024-05-15,2618,2609,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-05-15,2024-05-16,2618,2609,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-05-16,2024-05-17,2618,2609,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-05-17,2024-05-20,2618,2609,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-05-20,2024-05-21,2618,2367,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-05-21,2024-05-22,2618,2367,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-05-22,2024-05-23,2618,2367,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-05-23,2024-05-24,2618,2367,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-05-24,2024-05-27,2618,2330,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-05-27,2024-05-28,2618,6117,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-05-28,2024-05-29,2618,3017,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-05-29,2024-05-30,2618,3017,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-05-30,2024-05-31,3017,3017,switch_to_challenger,margin_blocks_incumbent_weakened,ordinary_market
2024-05-31,2024-06-03,3017,3017,hold_incumbent,valid_incumbent_no_better_challenger,strong_market
2024-06-03,2024-06-04,3017,3483,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-06-04,2024-06-05,3017,3483,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-06-05,2024-06-06,3017,2882,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-06-06,2024-06-07,3017,2882,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-06-07,2024-06-11,3017,2367,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-06-11,2024-06-12,9958,9958,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2024-06-12,2024-06-13,3374,3374,forced_replacement,invalid_or_weak_incumbent,weak_market
2024-06-13,2024-06-14,3374,2317,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-06-14,2024-06-17,3374,2317,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-06-17,2024-06-18,3374,3374,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2024-06-18,2024-06-19,3374,2317,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-06-19,2024-06-20,3374,2317,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-06-20,2024-06-21,3374,2317,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-06-21,2024-06-24,3374,2317,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-06-24,2024-06-25,1785,1785,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2024-06-25,2024-06-26,1785,1785,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2024-06-26,2024-06-27,1785,1785,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2024-06-27,2024-06-28,1785,1514,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-06-28,2024-07-01,1785,3406,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-01,2024-07-02,1785,6446,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-02,2024-07-03,1785,6446,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-03,2024-07-04,1785,5443,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-04,2024-07-05,1785,5443,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-05,2024-07-08,1785,1785,hold_incumbent,valid_incumbent_no_better_challenger,strong_market
2024-07-08,2024-07-09,1785,3583,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-09,2024-07-10,1785,3583,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-10,2024-07-11,1785,3583,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-11,2024-07-12,1785,2308,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-12,2024-07-15,1785,4958,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-15,2024-07-16,2308,2308,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2024-07-16,2024-07-17,2308,4958,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-17,2024-07-18,2308,3013,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-18,2024-07-19,2308,3013,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-19,2024-07-22,2308,3013,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-22,2024-07-23,2308,2881,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-23,2024-07-26,2308,2881,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-26,2024-07-29,2308,2881,hold_incumbent,switch_gate_not_all_pass,weak_market
2024-07-29,2024-07-30,2308,9945,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-30,2024-07-31,2308,9945,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-07-31,2024-08-01,2308,2881,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-08-01,2024-08-02,2308,9945,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-08-02,2024-08-05,2308,2881,hold_incumbent,switch_gate_not_all_pass,weak_market
2024-08-05,2024-08-06,2308,3374,hold_incumbent,switch_gate_not_all_pass,weak_market
2024-08-06,2024-08-07,2308,2881,hold_incumbent,switch_gate_not_all_pass,weak_market
2024-08-07,2024-08-08,3019,3019,forced_replacement,invalid_or_weak_incumbent,weak_market
2024-08-08,2024-08-09,3019,2881,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-08-09,2024-08-12,3019,3019,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2024-08-12,2024-08-13,2615,2615,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2024-08-13,2024-08-14,2615,3013,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-08-14,2024-08-15,2615,3013,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-08-15,2024-08-16,2615,5443,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-08-16,2024-08-19,2615,5443,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-08-19,2024-08-20,2615,5443,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-08-20,2024-08-21,2615,5443,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-08-21,2024-08-22,2615,5443,hold_incumbent,switch_gate_not_all_pass,strong_market
2024-08-22,2024-08-23,5443,5443,forced_replacement,invalid_or_weak_incumbent,weak_market
2024-08-23,2024-08-26,5443,3374,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-08-26,2024-08-27,5443,3008,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-08-27,2024-08-28,5443,5443,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2024-08-28,2024-08-29,5443,8069,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-08-29,2024-08-30,5443,3008,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-08-30,2024-09-02,5443,2467,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-09-02,2024-09-03,3008,3008,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2024-09-03,2024-09-04,3008,2383,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-09-04,2024-09-05,3008,4763,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-09-05,2024-09-06,3008,2881,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-09-06,2024-09-09,3008,4763,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-09-09,2024-09-10,4763,4763,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2024-09-10,2024-09-11,4763,3227,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-09-11,2024-09-12,4763,3227,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-09-12,2024-09-13,4763,6223,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-09-13,2024-09-16,4763,6223,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-09-16,2024-09-18,4763,6223,hold_incumbent,switch_gate_not_all_pass,weak_market
2024-09-18,2024-09-19,4763,6223,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-09-19,2024-09-20,4763,3450,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2024-09-20,2024-09-23,4763,8070,hold_incumbent,switch_gate_not_all_pass,ordinary_market
