signal_date,period_label,source_variant,blocked_item,blocked_reason,policy
2020-03-20,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2020-07-31,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2020-09-25,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2020-09-30,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2020-10-08,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2021-01-15,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2021-01-22,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2021-01-29,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2021-02-05,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2021-08-13,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2021-08-27,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2021-09-03,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2021-09-10,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2021-09-17,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2021-09-24,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2022-01-14,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2022-01-21,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2022-01-26,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2022-08-05,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2022-11-25,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
