event_id,episode_id,decision_date,execution_date,action_type,invalidity_status,incumbent,challenger,alternate_action,alternate_target,C0_alternate_target,reason_codes
E11_2025-04-08,11,2025-04-08,2025-04-09,switch_to_challenger,applied_controller_margin_blocks_weakening,2891,2303,hold_pre_episode_incumbent,2891,2891,applied_controller_margin_blocks_weakening
E13_2025-08-01,13,2025-08-01,2025-08-04,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-04,13,2025-08-04,2025-08-05,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-05,13,2025-08-05,2025-08-06,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-06,13,2025-08-06,2025-08-07,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-07,13,2025-08-07,2025-08-08,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-08,13,2025-08-08,2025-08-11,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-11,13,2025-08-11,2025-08-12,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-12,13,2025-08-12,2025-08-13,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-13,13,2025-08-13,2025-08-14,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-14,13,2025-08-14,2025-08-15,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-15,13,2025-08-15,2025-08-18,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-18,13,2025-08-18,2025-08-19,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-19,13,2025-08-19,2025-08-20,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-20,13,2025-08-20,2025-08-21,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-21,13,2025-08-21,2025-08-22,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-22,13,2025-08-22,2025-08-25,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-25,13,2025-08-25,2025-08-26,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-26,13,2025-08-26,2025-08-27,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-27,13,2025-08-27,2025-08-28,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-28,13,2025-08-28,2025-08-29,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-08-29,13,2025-08-29,2025-09-01,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-01,13,2025-09-01,2025-09-02,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-02,13,2025-09-02,2025-09-03,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-03,13,2025-09-03,2025-09-04,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-04,13,2025-09-04,2025-09-05,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-05,13,2025-09-05,2025-09-08,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-08,13,2025-09-08,2025-09-09,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-09,13,2025-09-09,2025-09-10,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-10,13,2025-09-10,2025-09-11,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-11,13,2025-09-11,2025-09-12,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-12,13,2025-09-12,2025-09-15,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-15,13,2025-09-15,2025-09-16,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-16,13,2025-09-16,2025-09-17,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-17,13,2025-09-17,2025-09-18,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-18,13,2025-09-18,2025-09-19,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-19,13,2025-09-19,2025-09-22,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-22,13,2025-09-22,2025-09-23,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-23,13,2025-09-23,2025-09-24,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-24,13,2025-09-24,2025-09-25,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-25,13,2025-09-25,2025-09-26,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-26,13,2025-09-26,2025-09-30,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-09-30,13,2025-09-30,2025-10-01,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-01,13,2025-10-01,2025-10-02,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-02,13,2025-10-02,2025-10-03,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-03,13,2025-10-03,2025-10-07,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-07,13,2025-10-07,2025-10-08,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-08,13,2025-10-08,2025-10-09,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-09,13,2025-10-09,2025-10-13,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-13,13,2025-10-13,2025-10-14,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-14,13,2025-10-14,2025-10-15,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-15,13,2025-10-15,2025-10-16,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-16,13,2025-10-16,2025-10-17,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-17,13,2025-10-17,2025-10-20,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-20,13,2025-10-20,2025-10-21,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-21,13,2025-10-21,2025-10-22,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-22,13,2025-10-22,2025-10-23,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-23,13,2025-10-23,2025-10-27,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-27,13,2025-10-27,2025-10-28,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-28,13,2025-10-28,2025-10-29,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-29,13,2025-10-29,2025-10-30,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-30,13,2025-10-30,2025-10-31,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-10-31,13,2025-10-31,2025-11-03,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-03,13,2025-11-03,2025-11-04,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-04,13,2025-11-04,2025-11-05,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-05,13,2025-11-05,2025-11-06,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-06,13,2025-11-06,2025-11-07,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-07,13,2025-11-07,2025-11-10,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-10,13,2025-11-10,2025-11-11,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-11,13,2025-11-11,2025-11-12,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-12,13,2025-11-12,2025-11-13,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-13,13,2025-11-13,2025-11-14,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-14,13,2025-11-14,2025-11-17,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-17,13,2025-11-17,2025-11-18,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-18,13,2025-11-18,2025-11-19,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-19,13,2025-11-19,2025-11-20,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-20,13,2025-11-20,2025-11-21,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-21,13,2025-11-21,2025-11-24,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-24,13,2025-11-24,2025-11-25,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-25,13,2025-11-25,2025-11-26,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-26,13,2025-11-26,2025-11-27,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-27,13,2025-11-27,2025-11-28,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-11-28,13,2025-11-28,2025-12-01,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-01,13,2025-12-01,2025-12-02,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-02,13,2025-12-02,2025-12-03,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-03,13,2025-12-03,2025-12-04,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-04,13,2025-12-04,2025-12-05,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-05,13,2025-12-05,2025-12-08,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-08,13,2025-12-08,2025-12-09,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-09,13,2025-12-09,2025-12-10,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-10,13,2025-12-10,2025-12-11,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-11,13,2025-12-11,2025-12-12,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-12,13,2025-12-12,2025-12-15,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-15,13,2025-12-15,2025-12-16,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-16,13,2025-12-16,2025-12-17,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-17,13,2025-12-17,2025-12-18,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-18,13,2025-12-18,2025-12-19,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-19,13,2025-12-19,2025-12-22,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-22,13,2025-12-22,2025-12-23,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-23,13,2025-12-23,2025-12-24,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-24,13,2025-12-24,2025-12-26,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-26,13,2025-12-26,2025-12-29,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-29,13,2025-12-29,2025-12-30,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-30,13,2025-12-30,2025-12-31,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2025-12-31,13,2025-12-31,2026-01-02,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-02,13,2026-01-02,2026-01-05,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-05,13,2026-01-05,2026-01-06,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-06,13,2026-01-06,2026-01-07,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-07,13,2026-01-07,2026-01-08,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-08,13,2026-01-08,2026-01-09,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-09,13,2026-01-09,2026-01-12,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-12,13,2026-01-12,2026-01-13,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-13,13,2026-01-13,2026-01-14,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-14,13,2026-01-14,2026-01-15,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-15,13,2026-01-15,2026-01-16,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-16,13,2026-01-16,2026-01-19,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-19,13,2026-01-19,2026-01-20,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-20,13,2026-01-20,2026-01-21,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-21,13,2026-01-21,2026-01-22,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-22,13,2026-01-22,2026-01-23,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E13_2026-01-23,13,2026-01-23,2026-01-26,watch_only,no_valid_replacement,8358,,hold_pre_episode_incumbent,8358,,no_valid_replacement
E15_2026-02-05,15,2026-02-05,2026-02-06,switch_to_challenger,applied_controller_margin_blocks_weakening,3081,2454,hold_pre_episode_incumbent,3081,3081,applied_controller_margin_blocks_weakening
E15_2026-02-06,15,2026-02-06,2026-02-09,hold_incumbent,valid_incumbent_no_better_challenger,2454,2454,hold_pre_episode_incumbent,3081,3081,valid_incumbent_no_better_challenger
E18_2026-03-11,18,2026-03-11,2026-03-12,switch_to_challenger,applied_controller_margin_blocks_weakening,6223,2327,hold_pre_episode_incumbent,6223,6223,applied_controller_margin_blocks_weakening
E18_2026-03-12,18,2026-03-12,2026-03-13,forced_replacement,invalid_or_weak_incumbent,2327,3481,hold_pre_episode_incumbent,6223,6223,invalid_or_weak_incumbent
E18_2026-03-13,18,2026-03-13,2026-03-16,hold_incumbent,applied_controller_switch_gate_failed,3481,3481,hold_pre_episode_incumbent,6223,6223,applied_controller_switch_gate_failed
E18_2026-03-16,18,2026-03-16,2026-03-17,forced_replacement,invalid_or_weak_incumbent,3481,1785,hold_pre_episode_incumbent,6223,6223,invalid_or_weak_incumbent
E18_2026-03-17,18,2026-03-17,2026-03-18,hold_incumbent,valid_incumbent_no_better_challenger,1785,1785,hold_pre_episode_incumbent,6223,6223,valid_incumbent_no_better_challenger
E18_2026-03-18,18,2026-03-18,2026-03-19,hold_incumbent,applied_controller_switch_gate_failed,1785,1785,hold_pre_episode_incumbent,6223,6223,applied_controller_switch_gate_failed
E18_2026-03-19,18,2026-03-19,2026-03-20,hold_incumbent,applied_controller_switch_gate_failed,1785,1785,hold_pre_episode_incumbent,6223,6223,applied_controller_switch_gate_failed
E18_2026-03-20,18,2026-03-20,2026-03-23,hold_incumbent,applied_controller_switch_gate_failed,1785,1785,hold_pre_episode_incumbent,6223,6223,applied_controller_switch_gate_failed
E18_2026-03-23,18,2026-03-23,2026-03-24,hold_incumbent,applied_controller_switch_gate_failed,1785,1785,hold_pre_episode_incumbent,6223,3260,applied_controller_switch_gate_failed
E18_2026-03-24,18,2026-03-24,2026-03-25,hold_incumbent,valid_incumbent_no_better_challenger,1785,1785,hold_pre_episode_incumbent,6223,3260,valid_incumbent_no_better_challenger
E18_2026-03-25,18,2026-03-25,2026-03-26,hold_incumbent,applied_controller_switch_gate_failed,1785,1785,hold_pre_episode_incumbent,6223,3715,applied_controller_switch_gate_failed
E18_2026-03-26,18,2026-03-26,2026-03-27,switch_to_challenger,applied_controller_margin_blocks_weakening,1785,3131,hold_pre_episode_incumbent,6223,3715,applied_controller_margin_blocks_weakening
E18_2026-03-27,18,2026-03-27,2026-03-30,hold_incumbent,applied_controller_switch_gate_failed,3131,3131,hold_pre_episode_incumbent,6223,3715,applied_controller_switch_gate_failed
