snapshot_date,ticker,prior_factor_date,prior_factor,next_factor_date,next_factor,factor_abs_diff,absolute_tolerance,relative_tolerance,factor_equal_within_tolerance,raw_HLC_same_day_ready,corporate_action_ambiguity,bracket_factor_accepted,proof_reason,neighbor_price_substitution_used
2025-08-01,3131,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,3163,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,3189,2025-07-31,0.998291015625,2025-08-04,0.998291015625,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,3213,2025-07-31,0.9423868315560477,2025-08-04,0.9423868042507252,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,3227,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,3260,2025-07-31,0.9676190289962109,2025-08-04,0.9676190251889436,3.807267279221094e-09,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,3264,2025-07-31,0.9805103832522765,2025-08-04,0.9805103832522765,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,3293,2025-07-31,0.9532467597010178,2025-08-04,0.9532467600956956,3.946778459607003e-10,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,3324,2025-07-31,0.9886634894577615,2025-08-04,0.9886634746591548,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,3363,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,3450,2025-07-31,0.9979979998041856,2025-08-04,0.9979979837895672,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,3529,2025-07-31,0.9935331527372543,2025-08-04,0.9935331637673174,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,3587,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,3689,2025-07-31,0.970305838696459,2025-08-04,1.0,,1e-10,1e-08,False,True,True,False,factor_changed,False
2025-08-01,3698,,,,,,1e-10,1e-08,False,False,True,False,missing_prior_factor,False
2025-08-01,3702,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,3706,2025-07-31,0.9890546867955602,2025-08-04,0.9890546867955602,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,4303,2025-07-31,0.9855595731187141,2025-08-04,0.9855595868669109,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,4749,2025-07-31,0.9913514108368845,2025-08-04,0.991351318359375,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,4772,2025-07-31,0.9893993155304092,2025-08-04,0.9893993473270216,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,4904,2025-07-31,0.9630166720486428,2025-08-04,0.9630166718454072,2.0323565053104176e-10,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,4916,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,4966,2025-07-31,0.9697592561141304,2025-08-04,0.9697593617662091,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,4971,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,4977,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,4979,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,5264,,,,,,1e-10,1e-08,False,False,True,False,missing_prior_factor,False
2025-08-01,5274,2025-07-31,0.9954088927643476,2025-08-04,0.9954088774181548,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,5309,2025-07-31,0.9936526195112482,2025-08-04,0.9936526718960014,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,5314,2025-07-31,0.9977962144454982,2025-08-04,0.9977962576631275,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,5347,2025-07-31,0.9768797492265436,2025-08-04,0.9768797221936678,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,5439,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,5443,2025-07-31,0.9788461193139012,2025-08-04,0.9788461458885064,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,5483,2025-07-31,0.9919355033647898,2025-08-04,0.991935505586512,2.2217222506171197e-09,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,5536,2025-07-31,0.9830887152224171,2025-08-04,0.9830886205037435,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,5904,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,6104,2025-07-31,0.9511930292302911,2025-08-04,0.9511930616639501,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,6121,2025-07-31,0.9737206435785061,2025-08-04,0.9737205883063894,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,6187,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,6206,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,6223,2025-07-31,0.996594470796131,2025-08-04,0.9965944347726986,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,6274,2025-07-31,0.9920649825434982,2025-08-04,0.9920649592816713,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,6290,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,6488,2025-07-31,0.9951573726904653,2025-08-04,0.9951573422080592,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,6510,2025-07-31,0.9946355607277623,2025-08-04,0.9946355485281893,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,6640,2025-07-31,0.9865471060949428,2025-08-04,0.9865471562252769,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,6643,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,6667,2025-07-31,0.9599138147690716,2025-08-04,0.9599137965256606,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,6683,2025-07-31,0.9949430528577867,2025-08-04,0.9949430528577867,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,6788,2025-07-31,0.9647473756058828,2025-08-04,0.9647473486784462,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,7402,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,8069,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,8155,2025-07-31,0.9852636599073223,2025-08-04,0.9852636428106398,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,8299,2025-07-31,0.9872542471255896,2025-08-04,0.9872542317708334,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,8358,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,8932,2025-07-31,0.9987342599633922,2025-08-04,0.9987343130462459,,1e-10,1e-08,False,True,False,False,factor_changed,False
