signal_date,ticker,candidate_rank,blocked_item,blocked_reason,policy
2015-01-09,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2019-05-24,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2019-09-12,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2019-09-12,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2019-09-12,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2019-09-12,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2019-12-06,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2019-12-06,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2019-12-06,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2019-12-06,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2020-01-10,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2020-01-10,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2020-01-10,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2020-01-10,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2020-02-21,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2020-02-21,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2020-02-21,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2020-02-21,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2020-04-17,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2020-04-17,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2020-04-17,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2020-04-17,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2021-06-18,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2021-06-18,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2021-06-18,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2021-06-18,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2021-07-09,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2021-07-09,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2021-07-09,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2021-07-09,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2021-12-30,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2021-12-30,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2021-12-30,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2021-12-30,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-02-18,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-02-18,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-02-18,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-02-18,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-04-08,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-04-08,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-04-08,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-04-08,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-04-29,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-04-29,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-04-29,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-04-29,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-06-10,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-06-10,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-06-10,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-06-10,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-07-01,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-07-01,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-07-01,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-07-01,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-07-29,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-07-29,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-07-29,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-07-29,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-08-12,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-08-12,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-08-12,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-08-12,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-09-08,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-09-08,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-09-08,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-09-08,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-11-04,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-11-04,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-11-04,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2022-11-04,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
,,,adjusted_close,exact historical ex-right date and capital-change adjustment route incomplete,use official unadjusted OHLC diagnostic-only; not formal
