layer4_pool_role,layer4_pool_variant,pool_size_target,snapshot_date,selected_count,shortfall_count,is_layer4_primary_pool,reference_only,two_plus_opportunity_share,neutral_medium_high_share,high_exhaustion_or_breakdown_share,avg_traded_value_rank_20d,period,fallback_00631L_is_ordinary_stock_pool_member
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-11-11,100,0,False,True,1.0,1.0,0.0,150.41,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-11-18,100,0,False,True,0.98,1.0,0.04,139.82,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-11-25,100,0,False,True,0.96,1.0,0.07,154.29,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-12-02,100,0,False,True,0.98,1.0,0.11,155.07,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-12-09,100,0,False,True,0.92,1.0,0.18,137.46,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-12-16,100,0,False,True,1.0,1.0,0.04,143.92,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-12-23,100,0,False,True,1.0,1.0,0.02,141.89,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-12-30,100,0,False,True,1.0,1.0,0.08,136.11,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-01-06,100,0,False,True,1.0,1.0,0.06,126.21,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-01-13,100,0,False,True,0.99,1.0,0.05,133.12,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-01-20,100,0,False,True,1.0,1.0,0.02,129.02,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-01-24,100,0,False,True,1.0,1.0,0.02,119.73,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-02-03,100,0,False,True,0.99,1.0,0.05,128.42,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-02-10,100,0,False,True,0.99,1.0,0.05,139.62,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-02-17,100,0,False,True,0.99,1.0,0.04,154.59,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-02-24,100,0,False,True,0.99,1.0,0.05,147.68,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-03-03,100,0,False,True,0.97,1.0,0.21,145.16,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-03-10,100,0,False,True,1.0,1.0,0.09,144.7,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-03-17,100,0,False,True,0.92,1.0,0.08,163.01,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-03-24,100,0,False,True,0.97,1.0,0.15,139.23,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-03-31,100,0,False,True,1.0,1.0,0.05,134.93,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-04-07,100,0,False,True,1.0,1.0,0.08,121.48,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-04-14,100,0,False,True,1.0,1.0,0.11,125.1,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-04-21,100,0,False,True,1.0,1.0,0.02,120.88,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-04-28,100,0,False,True,1.0,1.0,0.04,123.09,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-05-05,100,0,False,True,1.0,1.0,0.01,125.02,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-05-12,100,0,False,True,1.0,1.0,0.03,124.82,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-05-19,100,0,False,True,1.0,1.0,0.04,114.34,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-05-26,100,0,False,True,1.0,1.0,0.04,114.34,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-06-02,100,0,False,True,1.0,1.0,0.01,125.19,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-06-09,100,0,False,True,1.0,1.0,0.01,109.07,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-06-16,100,0,False,True,1.0,1.0,0.02,109.46,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-06-23,100,0,False,True,1.0,1.0,0.03,111.2,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-06-30,100,0,False,True,1.0,1.0,0.01,110.22,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-07-07,100,0,False,True,1.0,1.0,0.01,111.85,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-07-14,100,0,False,True,1.0,1.0,0.01,89.15,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-07-21,100,0,False,True,1.0,1.0,0.02,116.39,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-07-28,100,0,False,True,1.0,1.0,0.02,110.41,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-08-04,100,0,False,True,1.0,1.0,0.02,123.56,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-08-11,100,0,False,True,1.0,1.0,0.08,124.36,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-08-18,100,0,False,True,1.0,1.0,0.02,123.4,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-08-25,100,0,False,True,1.0,1.0,0.06,124.02,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-09-01,100,0,False,True,1.0,1.0,0.02,119.12,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-09-08,100,0,False,True,1.0,1.0,0.03,128.5,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-09-15,100,0,False,True,1.0,1.0,0.03,129.44,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-09-22,100,0,False,True,1.0,1.0,0.05,134.92,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-09-29,100,0,False,True,1.0,1.0,0.06,132.06,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-10-06,100,0,False,True,1.0,1.0,0.06,129.42,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-10-13,100,0,False,True,1.0,1.0,0.03,145.59,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-10-20,100,0,False,True,1.0,1.0,0.03,139.98,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-10-27,100,0,False,True,1.0,1.0,0.07,134.05,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-11-03,100,0,False,True,1.0,1.0,0.02,141.32,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-11-10,100,0,False,True,1.0,1.0,0.0,139.49,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-11-17,100,0,False,True,1.0,1.0,0.01,128.33,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-11-24,100,0,False,True,0.97,1.0,0.05,137.67,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-12-01,100,0,False,True,0.92,1.0,0.07,149.18,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-12-08,100,0,False,True,0.99,1.0,0.02,139.5,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-12-15,100,0,False,True,0.99,1.0,0.07,150.81,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-12-22,100,0,False,True,0.98,1.0,0.06,135.66,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2017-12-29,100,0,False,True,0.96,1.0,0.03,160.21,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-01-05,100,0,False,True,0.95,1.0,0.11,146.89,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-01-12,100,0,False,True,1.0,1.0,0.01,152.94,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-01-19,100,0,False,True,1.0,1.0,0.01,134.62,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-01-26,100,0,False,True,1.0,1.0,0.0,132.33,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-02-02,100,0,False,True,1.0,1.0,0.01,123.59,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-02-09,100,0,False,True,1.0,1.0,0.02,116.0,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-02-12,100,0,False,True,1.0,1.0,0.02,132.68,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-02-23,100,0,False,True,1.0,1.0,0.07,118.17,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-03-02,100,0,False,True,1.0,1.0,0.06,132.74,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-03-09,100,0,False,True,0.96,1.0,0.07,120.72,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-03-16,100,0,False,True,1.0,1.0,0.15,128.63,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-03-23,100,0,False,True,1.0,1.0,0.02,129.58,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-03-30,100,0,False,True,0.99,1.0,0.03,140.55,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-04-03,100,0,False,True,1.0,1.0,0.07,143.39,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-04-13,100,0,False,True,0.97,1.0,0.05,144.69,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-04-20,100,0,False,True,1.0,1.0,0.06,142.69,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-04-27,100,0,False,True,1.0,1.0,0.07,143.16,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-05-04,100,0,False,True,1.0,1.0,0.01,137.29,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-05-11,100,0,False,True,1.0,1.0,0.03,132.54,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-05-18,100,0,False,True,1.0,1.0,0.07,135.92,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-05-25,100,0,False,True,0.9,1.0,0.14,155.49,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-06-01,100,0,False,True,0.91,1.0,0.06,141.79,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-06-08,100,0,False,True,1.0,1.0,0.1,119.63,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-06-15,100,0,False,True,0.98,1.0,0.11,148.41,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-06-22,100,0,False,True,0.96,1.0,0.06,155.55,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-06-29,100,0,False,True,1.0,1.0,0.02,129.05,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-07-06,100,0,False,True,1.0,1.0,0.06,136.26,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-07-13,100,0,False,True,1.0,1.0,0.06,136.92,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-07-20,100,0,False,True,1.0,1.0,0.08,157.78,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-07-27,100,0,False,True,1.0,1.0,0.0,143.94,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-08-03,100,0,False,True,1.0,1.0,0.04,141.66,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-08-10,100,0,False,True,1.0,1.0,0.03,146.29,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-08-17,100,0,False,True,1.0,1.0,0.02,148.86,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-08-24,100,0,False,True,0.99,1.0,0.03,144.79,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-08-31,100,0,False,True,1.0,1.0,0.05,130.83,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-09-07,100,0,False,True,1.0,1.0,0.0,147.16,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-09-14,100,0,False,True,1.0,1.0,0.0,121.03,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-09-21,100,0,False,True,1.0,1.0,0.0,141.74,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2018-09-28,100,0,False,True,0.99,1.0,0.01,148.29,P1,False
